Codi_centre;Denominació_completa;Nom_naturalesa;Nom_municipi
08073715;Escola Bressol Municipal Enxaneta;Públic;Barcelona
08073727;Escola Bressol Municipal Els Patufets de Navas;Públic;Barcelona
08073739;El Timbalet;Privat;Barcelona
08073740;Eserp;Privat;Barcelona
08073764;Escola Bressol La Torreta;Públic;La Roca del Vallès
08073788;La Font;Privat;Vic
08073791;LLI privada La Pau 3 Marina;Privat;Barcelona
08073818;LLI privada Petita de Gomis;Privat;Barcelona
08073843;Institut Tordària;Públic;Tordera
08073867;Estudi Imatge;Privat;Granollers
08073910;Institut de Seguretat Pública de Catalunya;Públic;Mollet del Vallès
08073922;19@;Privat;Barcelona
08073934;Gimbernat Formació;Privat;Sant Cugat del Vallès
08073946;Llar d'infants La Fada;Privat;Mataró
08073958;Escola Nova d'Argentona;Públic;Argentona
08073961;Institut Pla del Bosc;Públic;Canyelles
08073983;Emilio Sánchez American School;Privat;El Prat de Llobregat
08074008;Esc. de Música Trémolo, Formació Musical;Privat;Barcelona
08074011;Passatge Centre d'Estudis Musicals;Privat;Barcelona
08074021;Espai d'Arts, escola de dansa;Privat;Igualada
08074033;Escola Bressol Municipal Caspolino;Públic;Barcelona
08074045;CFA El Roure Gros;Públic;Caldes de Montbui
08074057;Llar inf. rural Els Vailets;Públic;Òdena
08074069;Llar inf. rural Estel Cal Bassacs;Públic;Gironella
08074070;EOI de Calella;Públic;Calella
08074082;Forma't;Privat;Barcelona
08074100;Esc. de Música Amics de la Unió;Privat;Granollers
08074124;EB privada Món Mon;Privat;Sant Just Desvern
08074151;Escola Bressol Xerric-Xerrac;Privat;Les Franqueses del Vallès
08074161;Esc. de Música Maria Escolà i Cases;Públic;Piera
08074173;EB privada Els Barrufets;Privat;Granollers
08074197;EB privada Mar i Cel;Privat;Sant Feliu de Llobregat
08074203;EB privada Petits Artistes;Privat;Cardedeu
08074215;CFA de Cardedeu;Públic;Cardedeu
08074227;LLI privada Somriures de Sant Cugat;Privat;Sant Cugat del Vallès
08074239;Evolució 98;Privat;Montmeló
08074240;Escola Bressol El Petit Moll de Can Pacià;Privat;Mollet del Vallès
08074252;El Petit Arc de Sant Martí;Privat;Terrassa
08074264;Centre de Pastisseria del Gremi de Barcelona;Privat;Barcelona
08074276;LLI privada Nemomarlin Sant Cugat;Privat;Sant Cugat del Vallès
08074291;Escola Bressol Petit Somni;Privat;Mataró
08074318;Teknós;Privat;Vic
08074321;Escola Bressol Can Sant Joan;Públic;Montcada i Reixac
08074331;Escola de Dansa Danzalona;Privat;Badalona
08074355;Cenafe;Privat;Barcelona
08074367;Cent.Sup.Música Jam Session;Privat;Barcelona
08074379;Tangram;Privat;Manlleu
08074380;Escola Castell de Dosrius;Públic;Dosrius
08074392;LLI privada Piu Piu 1;Privat;Abrera
08074410;Institut La Serra;Públic;Sabadell
08074434;Tretzevents;Privat;Sant Cugat del Vallès
08074446;EFPA;Privat;Sabadell
08074461;Llar d'infants El Petit Somni;Privat;Vilassar de Mar
08074471;Estudi de Música Tri-Tò;Privat;Barcelona
08074495;Esc. de Música Municipal del Prat de Llobregat;Públic;El Prat de Llobregat
08074501;Fundació Pere Tarrés;Privat;Barcelona
08074513;Cent.Prof.Mús. CEM;Privat;Terrassa
08074537;ENTI-CF;Privat;Barcelona
08074549;LLI privada Picarol 2;Privat;Sant Boi de Llobregat
08074550;Espai Obert La Serra;Privat;Sant Pere de Ribes
08074574;La Gavina II;Privat;Barcelona
08074586;Centre de Gastronomia i Restauració;Privat;Sant Pol de Mar
08074598;Esc. de Música Municipal de Collbató;Públic;Collbató
08074604;Llar d'infants L'Oreneta;Públic;Santa Coloma de Gramenet
08074628;Institut El Prat de Llobregat;Públic;El Prat de Llobregat
08074631;Institut Les Salines;Públic;El Prat de Llobregat
08074641;Escola 30 Passos;Públic;Barcelona
08074677;Escola de Dansa Dansa Emotion;Privat;Barcelona
08074689;El Roure;Privat;Mediona
08074707;Llar d'infants Gafarronets;Públic;Lluçà
08074732;Esc. Mús. i D. Elisenda Tarragó;Privat;Barcelona
08074744;Fundació Obicex;Privat;Cornellà de Llobregat
08074771;Centre d'Estudis Margaret;Privat;Granollers
08074781;Cent.aut.ens.art.prof.Trémolo Formació Musical;Privat;Barcelona
08074793;Igualada II;Privat;Igualada
08074801;Institut Marta Estrada;Públic;Granollers
08074811;Escola Turó de Can Gili;Públic;Granollers
08074823;Escola Els Picots;Públic;Lliçà d'Amunt
08074835;Escola Jaume Llull;Públic;Sant Andreu de Llavaneres
08074847;Institut de Nàutica de Barcelona;Públic;Barcelona
08074859;Escola de Dansa Trackdance;Privat;Santa Eulàlia de Ronçana
08074860;CFA Enric Camón;Públic;Arenys de Munt
08074872;Crea Nova, Creativitat i Innovació;Privat;Sant Cugat del Vallès
08074884;The British College of Gavà;Privat;Gavà
08074896;Cons. de Música dels Pirineus;Públic;Berga
08074902;A. Hospitalària Hospital de dia d'Igualada;Públic;Igualada
08074914;St. George School the British School of Catalunya;Privat;Barcelona
08074926;A. Hospitalària Aula Hospitalària Àrea d'Adolescents Benito Menni;Privat;Sant Boi de Llobregat
08074938;CFA d'Alella;Públic;Alella
08074941;Llar d'infants Somnis;Privat;Ripollet
08074951;IFP;Privat;Barcelona
08074987;LLI privada El Gall i la Gallina II;Privat;Barcelona
08074999;Campus Professional U Manresa;Privat;Manresa
08075013;Centre de les Arts del Circ Rogelio Rivel;Privat;Barcelona
08075025;Centre de Teatre de Barcelona - CTB;Privat;Barcelona
